,basYm,crno,fncoCd,fncoNm,spacsbClsfThqrAmt,spacsbClsfThqrCcnt,spacsbDcd,spacsbDcdNm
0,201203,1101110003204,0010593,한화생명보험주식회사,35922558738000,1615906,A,[일반계정]
1,201203,1101110007032,0010594,에이비엘생명보험주식회사,9317858750000,285697,A,[일반계정]
2,201203,1101110005953,0010595,삼성생명보험주식회사,80139010696000,2321553,A,[일반계정]
3,201203,1101110018443,0010596,흥국생명보험주식회사,18799368160000,736682,A,[일반계정]
4,201203,1101110014970,0010597,교보생명보험주식회사,44836631237000,997282,A,[일반계정]
5,201203,1101110667498,0010599,신한생명보험주식회사,27225112282000,2549267,A,[일반계정]
6,201203,1801110078443,0010605,DGB생명보험주식회사,7531643606000,746513,A,[일반계정]
7,201203,2001110014608,0010607,케이디비생명보험주식회사,13831256921000,517566,A,[일반계정]
8,201203,1601110014483,0010608,미래에셋생명보험주식회사,13876180872000,334845,A,[일반계정]
9,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,12056194616000,1666846,A,[일반계정]
10,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,4363192540000,94118,A,[일반계정]
11,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,11974027394000,252771,A,[일반계정]
12,201203,1101110818463,0010618,하나생명보험주식회사,1762954670000,93402,A,[일반계정]
13,201203,1101110623606,0010619,DB생명보험주식회사,7007164236000,154321,A,[일반계정]
14,201203,1101110631154,0010620,메트라이프생명보험(주),10741183400000,322174,A,[일반계정]
15,201203,1101110624688,0010622,동양생명보험주식회사,24450569366000,1057827,A,[일반계정]
16,201203,1101110705322,0010624,PCA생명보험주식회사,1515132700000,48173,A,[일반계정]
17,201203,1101110709232,0010625,처브라이프생명보험주식회사,686256780000,19105,A,[일반계정]
18,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,1008235204000,21167,A,[일반계정]
19,201203,1101112762668,0011320,푸본현대생명보험주식회사,2748574386000,71451,A,[일반계정]
20,201203,1101113003699,0011388,KB생명보험주식회사,4680073970000,178627,A,[일반계정]
21,201203,1101112940751,0011434,라이나생명보험주식회사,23566489280000,1514231,A,[일반계정]
22,201203,1101114390376,0012455,아이비케이연금보험 주식회사,1188815400000,26911,A,[일반계정]
23,201203,1101114809377,0013173,농협생명보험주식회사,3207310760000,267128,A,[일반계정]
27,201203,1101110003204,0010593,한화생명보험주식회사,34475949517000,1006765,A1,[일반계정]_개인
28,201203,1101110007032,0010594,에이비엘생명보험주식회사,8178508000000,179551,A1,[일반계정]_개인
29,201203,1101110005953,0010595,삼성생명보험주식회사,72096732528000,1260021,A1,[일반계정]_개인
30,201203,1101110018443,0010596,흥국생명보험주식회사,18678377160000,729680,A1,[일반계정]_개인
31,201203,1101110014970,0010597,교보생명보험주식회사,40256823480000,835045,A1,[일반계정]_개인
32,201203,1101110667498,0010599,신한생명보험주식회사,26846453932000,2512652,A1,[일반계정]_개인
33,201203,1801110078443,0010605,DGB생명보험주식회사,4279184756000,270647,A1,[일반계정]_개인
34,201203,2001110014608,0010607,케이디비생명보험주식회사,11520572045000,310662,A1,[일반계정]_개인
35,201203,1601110014483,0010608,미래에셋생명보험주식회사,13641419310000,319603,A1,[일반계정]_개인
36,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,8115606516000,1616220,A1,[일반계정]_개인
37,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,4363192540000,94118,A1,[일반계정]_개인
38,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,11760797394000,247300,A1,[일반계정]_개인
39,201203,1101110818463,0010618,하나생명보험주식회사,1608247670000,39208,A1,[일반계정]_개인
40,201203,1101110623606,0010619,DB생명보험주식회사,6706001236000,144526,A1,[일반계정]_개인
41,201203,1101110631154,0010620,메트라이프생명보험(주),10695626400000,321511,A1,[일반계정]_개인
42,201203,1101110624688,0010622,동양생명보험주식회사,24160313866000,1039017,A1,[일반계정]_개인
43,201203,1101110705322,0010624,PCA생명보험주식회사,1515132700000,48173,A1,[일반계정]_개인
44,201203,1101110709232,0010625,처브라이프생명보험주식회사,685056780000,19081,A1,[일반계정]_개인
45,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,849658938000,16239,A1,[일반계정]_개인
46,201203,1101112762668,0011320,푸본현대생명보험주식회사,2715334386000,70198,A1,[일반계정]_개인
47,201203,1101113003699,0011388,KB생명보험주식회사,4598808970000,139694,A1,[일반계정]_개인
48,201203,1101112940751,0011434,라이나생명보험주식회사,23566489280000,1514231,A1,[일반계정]_개인
49,201203,1101114390376,0012455,아이비케이연금보험 주식회사,1188815400000,26911,A1,[일반계정]_개인
50,201203,1101114809377,0013173,농협생명보험주식회사,3207310760000,267128,A1,[일반계정]_개인
54,201203,1101110003204,0010593,한화생명보험주식회사,11279048342000,299996,A11,[일반계정]_개인_생존
55,201203,1101110007032,0010594,에이비엘생명보험주식회사,2265797310000,50186,A11,[일반계정]_개인_생존
