,날짜,법인등록번호,고유번호,기업명,직원수,직급구분,직급
0,201203,1101110003204,0010593,한화생명보험주식회사,4339,A,임직원
1,201203,1101110007032,0010594,에이비엘생명보험주식회사,1674,A,임직원
2,201203,1101110005953,0010595,삼성생명보험주식회사,6357,A,임직원
3,201203,1101110018443,0010596,흥국생명보험주식회사,509,A,임직원
4,201203,1101110014970,0010597,교보생명보험주식회사,4476,A,임직원
5,201203,1101110667498,0010599,신한생명보험주식회사,1340,A,임직원
6,201203,1801110078443,0010605,DGB생명보험주식회사,350,A,임직원
7,201203,2001110014608,0010607,케이디비생명보험주식회사,871,A,임직원
8,201203,1601110014483,0010608,미래에셋생명보험주식회사,1434,A,임직원
9,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,624,A,임직원
10,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,513,A,임직원
11,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,1052,A,임직원
12,201203,1101110818463,0010618,하나생명보험주식회사,240,A,임직원
13,201203,1101110623606,0010619,DB생명보험주식회사,533,A,임직원
14,201203,1101110631154,0010620,메트라이프생명보험(주),634,A,임직원
15,201203,1101110624688,0010622,동양생명보험주식회사,773,A,임직원
16,201203,1101110705322,0010624,PCA생명보험주식회사,383,A,임직원
17,201203,1101110709232,0010625,처브라이프생명보험주식회사,256,A,임직원
18,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,140,A,임직원
19,201203,1101112762668,0011320,푸본현대생명보험주식회사,426,A,임직원
20,201203,1101113003699,0011388,KB생명보험주식회사,288,A,임직원
21,201203,1101112940751,0011434,라이나생명보험주식회사,645,A,임직원
22,201203,1101114390376,0012455,아이비케이연금보험 주식회사,106,A,임직원
23,201203,1101114809377,0013173,농협생명보험주식회사,652,A,임직원
27,201203,1101110003204,0010593,한화생명보험주식회사,8,A1,임직원_임원
28,201203,1101110007032,0010594,에이비엘생명보험주식회사,8,A1,임직원_임원
29,201203,1101110005953,0010595,삼성생명보험주식회사,8,A1,임직원_임원
30,201203,1101110018443,0010596,흥국생명보험주식회사,5,A1,임직원_임원
31,201203,1101110014970,0010597,교보생명보험주식회사,8,A1,임직원_임원
32,201203,1101110667498,0010599,신한생명보험주식회사,7,A1,임직원_임원
33,201203,1801110078443,0010605,DGB생명보험주식회사,9,A1,임직원_임원
34,201203,2001110014608,0010607,케이디비생명보험주식회사,9,A1,임직원_임원
35,201203,1601110014483,0010608,미래에셋생명보험주식회사,7,A1,임직원_임원
36,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,1,A1,임직원_임원
37,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,9,A1,임직원_임원
38,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,7,A1,임직원_임원
39,201203,1101110818463,0010618,하나생명보험주식회사,7,A1,임직원_임원
40,201203,1101110623606,0010619,DB생명보험주식회사,5,A1,임직원_임원
41,201203,1101110631154,0010620,메트라이프생명보험(주),7,A1,임직원_임원
42,201203,1101110624688,0010622,동양생명보험주식회사,9,A1,임직원_임원
43,201203,1101110705322,0010624,PCA생명보험주식회사,6,A1,임직원_임원
44,201203,1101110709232,0010625,처브라이프생명보험주식회사,5,A1,임직원_임원
45,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,8,A1,임직원_임원
46,201203,1101112762668,0011320,푸본현대생명보험주식회사,8,A1,임직원_임원
47,201203,1101113003699,0011388,KB생명보험주식회사,8,A1,임직원_임원
48,201203,1101112940751,0011434,라이나생명보험주식회사,4,A1,임직원_임원
49,201203,1101114390376,0012455,아이비케이연금보험 주식회사,3,A1,임직원_임원
50,201203,1101114809377,0013173,농협생명보험주식회사,7,A1,임직원_임원
54,201203,1101110003204,0010593,한화생명보험주식회사,52,A2,임직원_이사대우
55,201203,1101110007032,0010594,에이비엘생명보험주식회사,23,A2,임직원_이사대우
56,201203,1101110005953,0010595,삼성생명보험주식회사,80,A2,임직원_이사대우
57,201203,1101110018443,0010596,흥국생명보험주식회사,9,A2,임직원_이사대우
58,201203,1101110014970,0010597,교보생명보험주식회사,36,A2,임직원_이사대우
59,201203,1101110667498,0010599,신한생명보험주식회사,19,A2,임직원_이사대우
60,201203,1801110078443,0010605,DGB생명보험주식회사,5,A2,임직원_이사대우
61,201203,2001110014608,0010607,케이디비생명보험주식회사,13,A2,임직원_이사대우
62,201203,1601110014483,0010608,미래에셋생명보험주식회사,47,A2,임직원_이사대우
63,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,28,A2,임직원_이사대우
64,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,16,A2,임직원_이사대우
65,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,34,A2,임직원_이사대우
66,201203,1101110818463,0010618,하나생명보험주식회사,3,A2,임직원_이사대우
67,201203,1101110623606,0010619,DB생명보험주식회사,9,A2,임직원_이사대우
68,201203,1101110631154,0010620,메트라이프생명보험(주),13,A2,임직원_이사대우
69,201203,1101110624688,0010622,동양생명보험주식회사,15,A2,임직원_이사대우
70,201203,1101110705322,0010624,PCA생명보험주식회사,18,A2,임직원_이사대우
71,201203,1101110709232,0010625,처브라이프생명보험주식회사,6,A2,임직원_이사대우
72,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,7,A2,임직원_이사대우
73,201203,1101112762668,0011320,푸본현대생명보험주식회사,13,A2,임직원_이사대우
74,201203,1101113003699,0011388,KB생명보험주식회사,6,A2,임직원_이사대우
75,201203,1101112940751,0011434,라이나생명보험주식회사,22,A2,임직원_이사대우
76,201203,1101114390376,0012455,아이비케이연금보험 주식회사,4,A2,임직원_이사대우
77,201203,1101114809377,0013173,농협생명보험주식회사,2,A2,임직원_이사대우
81,201203,1101110003204,0010593,한화생명보험주식회사,4279,A3,임직원_직원
82,201203,1101110007032,0010594,에이비엘생명보험주식회사,1643,A3,임직원_직원
83,201203,1101110005953,0010595,삼성생명보험주식회사,6269,A3,임직원_직원
84,201203,1101110018443,0010596,흥국생명보험주식회사,495,A3,임직원_직원
85,201203,1101110014970,0010597,교보생명보험주식회사,4432,A3,임직원_직원
86,201203,1101110667498,0010599,신한생명보험주식회사,1314,A3,임직원_직원
87,201203,1801110078443,0010605,DGB생명보험주식회사,336,A3,임직원_직원
88,201203,2001110014608,0010607,케이디비생명보험주식회사,849,A3,임직원_직원
89,201203,1601110014483,0010608,미래에셋생명보험주식회사,1380,A3,임직원_직원
90,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,595,A3,임직원_직원
91,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,488,A3,임직원_직원
92,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,1011,A3,임직원_직원
93,201203,1101110818463,0010618,하나생명보험주식회사,230,A3,임직원_직원
94,201203,1101110623606,0010619,DB생명보험주식회사,519,A3,임직원_직원
95,201203,1101110631154,0010620,메트라이프생명보험(주),614,A3,임직원_직원
96,201203,1101110624688,0010622,동양생명보험주식회사,749,A3,임직원_직원
97,201203,1101110705322,0010624,PCA생명보험주식회사,359,A3,임직원_직원
98,201203,1101110709232,0010625,처브라이프생명보험주식회사,245,A3,임직원_직원
99,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,125,A3,임직원_직원
100,201203,1101112762668,0011320,푸본현대생명보험주식회사,405,A3,임직원_직원
101,201203,1101113003699,0011388,KB생명보험주식회사,274,A3,임직원_직원
102,201203,1101112940751,0011434,라이나생명보험주식회사,619,A3,임직원_직원
103,201203,1101114390376,0012455,아이비케이연금보험 주식회사,99,A3,임직원_직원
104,201203,1101114809377,0013173,농협생명보험주식회사,643,A3,임직원_직원
108,201203,1101110003204,0010593,한화생명보험주식회사,23844,B,등록 설계사
109,201203,1101110007032,0010594,에이비엘생명보험주식회사,6726,B,등록 설계사
110,201203,1101110005953,0010595,삼성생명보험주식회사,42697,B,등록 설계사
111,201203,1101110018443,0010596,흥국생명보험주식회사,4579,B,등록 설계사
112,201203,1101110014970,0010597,교보생명보험주식회사,22338,B,등록 설계사
113,201203,1101110667498,0010599,신한생명보험주식회사,8632,B,등록 설계사
114,201203,1801110078443,0010605,DGB생명보험주식회사,1664,B,등록 설계사
115,201203,2001110014608,0010607,케이디비생명보험주식회사,4896,B,등록 설계사
116,201203,1601110014483,0010608,미래에셋생명보험주식회사,6632,B,등록 설계사
117,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,1137,B,등록 설계사
118,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,2078,B,등록 설계사
119,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,6674,B,등록 설계사
120,201203,1101110818463,0010618,하나생명보험주식회사,419,B,등록 설계사
121,201203,1101110623606,0010619,DB생명보험주식회사,3235,B,등록 설계사
122,201203,1101110631154,0010620,메트라이프생명보험(주),7056,B,등록 설계사
123,201203,1101110624688,0010622,동양생명보험주식회사,4144,B,등록 설계사
124,201203,1101110705322,0010624,PCA생명보험주식회사,1361,B,등록 설계사
125,201203,1101110709232,0010625,처브라이프생명보험주식회사,970,B,등록 설계사
126,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,B,등록 설계사
127,201203,1101112762668,0011320,푸본현대생명보험주식회사,1093,B,등록 설계사
128,201203,1101113003699,0011388,KB생명보험주식회사,1286,B,등록 설계사
129,201203,1101112940751,0011434,라이나생명보험주식회사,2330,B,등록 설계사
130,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,B,등록 설계사
131,201203,1101114809377,0013173,농협생명보험주식회사,1402,B,등록 설계사
135,201203,1101110003204,0010593,한화생명보험주식회사,21653,B1,등록 설계사_전속 설계사
136,201203,1101110007032,0010594,에이비엘생명보험주식회사,6601,B1,등록 설계사_전속 설계사
137,201203,1101110005953,0010595,삼성생명보험주식회사,39769,B1,등록 설계사_전속 설계사
138,201203,1101110018443,0010596,흥국생명보험주식회사,3482,B1,등록 설계사_전속 설계사
139,201203,1101110014970,0010597,교보생명보험주식회사,19480,B1,등록 설계사_전속 설계사
140,201203,1101110667498,0010599,신한생명보험주식회사,8512,B1,등록 설계사_전속 설계사
141,201203,1801110078443,0010605,DGB생명보험주식회사,1610,B1,등록 설계사_전속 설계사
142,201203,2001110014608,0010607,케이디비생명보험주식회사,4793,B1,등록 설계사_전속 설계사
143,201203,1601110014483,0010608,미래에셋생명보험주식회사,6440,B1,등록 설계사_전속 설계사
144,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,1113,B1,등록 설계사_전속 설계사
145,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,2078,B1,등록 설계사_전속 설계사
146,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,6674,B1,등록 설계사_전속 설계사
147,201203,1101110818463,0010618,하나생명보험주식회사,419,B1,등록 설계사_전속 설계사
148,201203,1101110623606,0010619,DB생명보험주식회사,1444,B1,등록 설계사_전속 설계사
149,201203,1101110631154,0010620,메트라이프생명보험(주),7056,B1,등록 설계사_전속 설계사
150,201203,1101110624688,0010622,동양생명보험주식회사,3941,B1,등록 설계사_전속 설계사
151,201203,1101110705322,0010624,PCA생명보험주식회사,1361,B1,등록 설계사_전속 설계사
152,201203,1101110709232,0010625,처브라이프생명보험주식회사,970,B1,등록 설계사_전속 설계사
153,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,B1,등록 설계사_전속 설계사
154,201203,1101112762668,0011320,푸본현대생명보험주식회사,1089,B1,등록 설계사_전속 설계사
155,201203,1101113003699,0011388,KB생명보험주식회사,1286,B1,등록 설계사_전속 설계사
156,201203,1101112940751,0011434,라이나생명보험주식회사,2330,B1,등록 설계사_전속 설계사
157,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,B1,등록 설계사_전속 설계사
158,201203,1101114809377,0013173,농협생명보험주식회사,1402,B1,등록 설계사_전속 설계사
162,201203,1101110003204,0010593,한화생명보험주식회사,2191,B2,등록 설계사_교차모집 설계사
163,201203,1101110007032,0010594,에이비엘생명보험주식회사,125,B2,등록 설계사_교차모집 설계사
164,201203,1101110005953,0010595,삼성생명보험주식회사,2928,B2,등록 설계사_교차모집 설계사
165,201203,1101110018443,0010596,흥국생명보험주식회사,1097,B2,등록 설계사_교차모집 설계사
166,201203,1101110014970,0010597,교보생명보험주식회사,2858,B2,등록 설계사_교차모집 설계사
167,201203,1101110667498,0010599,신한생명보험주식회사,120,B2,등록 설계사_교차모집 설계사
168,201203,1801110078443,0010605,DGB생명보험주식회사,54,B2,등록 설계사_교차모집 설계사
169,201203,2001110014608,0010607,케이디비생명보험주식회사,103,B2,등록 설계사_교차모집 설계사
170,201203,1601110014483,0010608,미래에셋생명보험주식회사,192,B2,등록 설계사_교차모집 설계사
171,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,24,B2,등록 설계사_교차모집 설계사
